day,rise,noon,set
1,08:51:58,12:44:52,16:37:58
2,08:51:48,12:45:20,16:39:05
3,08:51:35,12:45:48,16:40:15
4,08:51:18,12:46:15,16:41:27
5,08:50:57,12:46:42,16:42:42
6,08:50:33,12:47:08,16:44:00
7,08:50:06,12:47:34,16:45:20
8,08:49:35,12:47:59,16:46:43
9,08:49:01,12:48:24,16:48:07
10,08:48:24,12:48:48,16:49:34
11,08:47:43,12:49:12,16:51:03
12,08:47:00,12:49:35,16:52:34
13,08:46:13,12:49:58,16:54:07
14,08:45:23,12:50:20,16:55:42
15,08:44:30,12:50:41,16:57:18
16,08:43:34,12:51:02,16:58:56
17,08:42:36,12:51:22,17:00:36
18,08:41:34,12:51:41,17:02:17
19,08:40:29,12:51:59,17:03:59
20,08:39:22,12:52:17,17:05:43
21,08:38:12,12:52:34,17:07:27
22,08:37:00,12:52:50,17:09:13
23,08:35:44,12:53:06,17:11:00
24,08:34:27,12:53:21,17:12:48
25,08:33:06,12:53:34,17:14:37
26,08:31:44,12:53:48,17:16:27
27,08:30:19,12:54:00,17:18:17
28,08:28:52,12:54:11,17:20:08
29,08:27:22,12:54:22,17:22:00
30,08:25:50,12:54:32,17:23:52
31,08:24:17,12:54:41,17:25:44
32,08:22:41,12:54:49,17:27:37
33,08:21:03,12:54:56,17:29:31
34,08:19:23,12:55:03,17:31:24
35,08:17:41,12:55:09,17:33:18
36,08:15:58,12:55:14,17:35:12
37,08:14:12,12:55:18,17:37:07
38,08:12:25,12:55:21,17:39:01
39,08:10:36,12:55:24,17:40:55
40,08:08:46,12:55:25,17:42:50
41,08:06:54,12:55:26,17:44:44
42,08:05:00,12:55:26,17:46:39
43,08:03:05,12:55:26,17:48:33
44,08:01:09,12:55:24,17:50:27
45,07:59:11,12:55:22,17:52:21
46,07:57:12,12:55:19,17:54:15
47,07:55:11,12:55:16,17:56:09
48,07:53:09,12:55:11,17:58:03
49,07:51:06,12:55:06,17:59:56
50,07:49:02,12:55:01,18:01:50
51,07:46:57,12:54:54,18:03:42
52,07:44:51,12:54:47,18:05:35
53,07:42:43,12:54:40,18:07:28
54,07:40:35,12:54:31,18:09:20
55,07:38:26,12:54:22,18:11:12
56,07:36:16,12:54:13,18:13:03
57,07:34:05,12:54:03,18:14:55
58,07:31:53,12:53:52,18:16:46
59,07:29:40,12:53:41,18:18:37
60,07:27:27,12:53:29,18:20:27
61,07:25:12,12:53:17,18:22:17
62,07:22:58,12:53:05,18:24:07
63,07:20:42,12:52:51,18:25:57
64,07:18:26,12:52:38,18:27:46
65,07:16:10,12:52:24,18:29:35
66,07:13:52,12:52:10,18:31:24
67,07:11:35,12:51:55,18:33:13
68,07:09:17,12:51:40,18:35:01
69,07:06:58,12:51:24,18:36:49
70,07:04:39,12:51:08,18:38:37
71,07:02:20,12:50:52,18:40:25
72,07:00:00,12:50:36,18:42:12
73,06:57:40,12:50:19,18:43:59
74,06:55:20,12:50:03,18:45:46
75,06:52:59,12:49:45,18:47:33
76,06:50:38,12:49:28,18:49:19
77,06:48:17,12:49:11,18:51:06
78,06:45:56,12:48:53,18:52:52
79,06:43:35,12:48:35,18:54:38
80,06:41:14,12:48:18,18:56:24
81,06:38:52,12:48:00,18:58:10
82,06:36:31,12:47:42,18:59:56
83,06:34:10,12:47:24,19:01:41
84,06:31:48,12:47:05,19:03:27
85,06:29:27,12:46:47,19:05:12
86,06:27:06,12:46:29,19:06:57
87,06:24:45,12:46:11,19:08:43
88,06:22:24,12:45:53,19:10:28
89,06:20:03,12:45:35,19:12:13
90,07:17:42,13:45:17,20:13:58
91,07:15:22,13:44:59,20:15:43
92,07:13:02,13:44:42,20:17:28
93,07:10:42,13:44:24,20:19:13
94,07:08:22,13:44:07,20:20:58
95,07:06:03,13:43:50,20:22:43
96,07:03:45,13:43:33,20:24:28
97,07:01:26,13:43:16,20:26:13
98,06:59:08,13:42:59,20:27:58
99,06:56:51,13:42:43,20:29:43
100,06:54:34,13:42:27,20:31:28
101,06:52:18,13:42:11,20:33:13
102,06:50:02,13:41:56,20:34:58
103,06:47:47,13:41:40,20:36:43
104,06:45:32,13:41:26,20:38:28
105,06:43:19,13:41:11,20:40:13
106,06:41:05,13:40:57,20:41:58
107,06:38:53,13:40:43,20:43:42
108,06:36:42,13:40:30,20:45:27
109,06:34:31,13:40:17,20:47:12
110,06:32:21,13:40:04,20:48:57
111,06:30:12,13:39:52,20:50:42
112,06:28:04,13:39:40,20:52:26
113,06:25:57,13:39:29,20:54:11
114,06:23:51,13:39:18,20:55:55
115,06:21:46,13:39:08,20:57:39
116,06:19:42,13:38:58,20:59:23
117,06:17:40,13:38:49,21:01:07
118,06:15:38,13:38:40,21:02:51
119,06:13:38,13:38:32,21:04:34
120,06:11:39,13:38:24,21:06:18
121,06:09:41,13:38:17,21:08:01
122,06:07:45,13:38:10,21:09:43
123,06:05:50,13:38:04,21:11:25
124,06:03:57,13:37:58,21:13:07
125,06:02:05,13:37:53,21:14:49
126,06:00:14,13:37:49,21:16:30
127,05:58:26,13:37:45,21:18:10
128,05:56:38,13:37:41,21:19:50
129,05:54:53,13:37:39,21:21:29
130,05:53:09,13:37:36,21:23:08
131,05:51:28,13:37:35,21:24:46
132,05:49:48,13:37:34,21:26:23
133,05:48:10,13:37:33,21:27:59
134,05:46:33,13:37:33,21:29:35
135,05:44:59,13:37:34,21:31:09
136,05:43:27,13:37:35,21:32:43
137,05:41:57,13:37:37,21:34:15
138,05:40:30,13:37:39,21:35:47
139,05:39:04,13:37:42,21:37:17
140,05:37:41,13:37:45,21:38:46
141,05:36:20,13:37:49,21:40:14
142,05:35:02,13:37:53,21:41:40
143,05:33:46,13:37:58,21:43:05
144,05:32:32,13:38:04,21:44:28
145,05:31:21,13:38:10,21:45:49
146,05:30:13,13:38:16,21:47:09
147,05:29:07,13:38:23,21:48:28
148,05:28:04,13:38:31,21:49:44
149,05:27:04,13:38:39,21:50:59
150,05:26:06,13:38:47,21:52:11
151,05:25:12,13:38:56,21:53:22
152,05:24:20,13:39:05,21:54:30
153,05:23:31,13:39:14,21:55:36
154,05:22:45,13:39:24,21:56:40
155,05:22:02,13:39:34,21:57:41
156,05:21:22,13:39:45,21:58:40
157,05:20:46,13:39:56,21:59:37
158,05:20:12,13:40:07,22:00:31
159,05:19:41,13:40:18,22:01:23
160,05:19:14,13:40:30,22:02:11
161,05:18:50,13:40:42,22:02:57
162,05:18:29,13:40:54,22:03:40
163,05:18:11,13:41:06,22:04:21
164,05:17:57,13:41:19,22:04:58
165,05:17:45,13:41:32,22:05:33
166,05:17:37,13:41:44,22:06:04
167,05:17:33,13:41:57,22:06:32
168,05:17:31,13:42:10,22:06:58
169,05:17:33,13:42:23,22:07:20
170,05:17:38,13:42:36,22:07:39
171,05:17:46,13:42:49,22:07:54
172,05:17:57,13:43:02,22:08:07
173,05:18:12,13:43:15,22:08:16
174,05:18:29,13:43:28,22:08:22
175,05:18:50,13:43:41,22:08:25
176,05:19:14,13:43:54,22:08:24
177,05:19:41,13:44:07,22:08:21
178,05:20:11,13:44:19,22:08:13
179,05:20:43,13:44:31,22:08:03
180,05:21:19,13:44:43,22:07:49
181,05:21:58,13:44:55,22:07:32
182,05:22:39,13:45:07,22:07:12
183,05:23:23,13:45:18,22:06:48
184,05:24:10,13:45:29,22:06:22
185,05:25:00,13:45:40,22:05:52
186,05:25:52,13:45:50,22:05:19
187,05:26:46,13:46:00,22:04:43
188,05:27:43,13:46:10,22:04:03
189,05:28:42,13:46:19,22:03:21
190,05:29:44,13:46:28,22:02:35
191,05:30:48,13:46:37,22:01:47
192,05:31:54,13:46:45,22:00:55
193,05:33:02,13:46:53,22:00:01
194,05:34:11,13:47:00,21:59:04
195,05:35:23,13:47:06,21:58:04
196,05:36:37,13:47:13,21:57:01
197,05:37:53,13:47:18,21:55:55
198,05:39:10,13:47:23,21:54:47
199,05:40:28,13:47:28,21:53:36
200,05:41:49,13:47:32,21:52:23
201,05:43:11,13:47:35,21:51:07
202,05:44:34,13:47:38,21:49:48
203,05:45:58,13:47:41,21:48:27
204,05:47:24,13:47:43,21:47:04
205,05:48:51,13:47:44,21:45:39
206,05:50:19,13:47:44,21:44:11
207,05:51:48,13:47:44,21:42:41
208,05:53:18,13:47:44,21:41:09
209,05:54:50,13:47:43,21:39:34
210,05:56:21,13:47:41,21:37:58
211,05:57:54,13:47:38,21:36:20
212,05:59:28,13:47:35,21:34:40
213,06:01:02,13:47:32,21:32:57
214,06:02:37,13:47:28,21:31:14
215,06:04:12,13:47:23,21:29:28
216,06:05:48,13:47:17,21:27:40
217,06:07:25,13:47:11,21:25:51
218,06:09:02,13:47:05,21:24:01
219,06:10:40,13:46:57,21:22:08
220,06:12:17,13:46:50,21:20:15
221,06:13:56,13:46:41,21:18:19
222,06:15:34,13:46:32,21:16:23
223,06:17:13,13:46:23,21:14:24
224,06:18:52,13:46:13,21:12:25
225,06:20:31,13:46:02,21:10:24
226,06:22:11,13:45:51,21:08:22
227,06:23:50,13:45:39,21:06:19
228,06:25:30,13:45:27,21:04:15
229,06:27:10,13:45:14,21:02:09
230,06:28:50,13:45:01,21:00:02
231,06:30:30,13:44:47,20:57:55
232,06:32:10,13:44:33,20:55:46
233,06:33:50,13:44:18,20:53:37
234,06:35:31,13:44:03,20:51:26
235,06:37:11,13:43:47,20:49:15
236,06:38:51,13:43:31,20:47:02
237,06:40:31,13:43:15,20:44:49
238,06:42:11,13:42:58,20:42:36
239,06:43:52,13:42:41,20:40:21
240,06:45:32,13:42:23,20:38:06
241,06:47:12,13:42:05,20:35:50
242,06:48:52,13:41:47,20:33:33
243,06:50:32,13:41:28,20:31:16
244,06:52:12,13:41:09,20:28:58
245,06:53:53,13:40:50,20:26:40
246,06:55:33,13:40:30,20:24:21
247,06:57:13,13:40:11,20:22:02
248,06:58:53,13:39:51,20:19:42
249,07:00:33,13:39:31,20:17:22
250,07:02:13,13:39:10,20:15:01
251,07:03:53,13:38:50,20:12:41
252,07:05:32,13:38:29,20:10:19
253,07:07:12,13:38:08,20:07:58
254,07:08:52,13:37:47,20:05:36
255,07:10:32,13:37:26,20:03:14
256,07:12:12,13:37:05,20:00:52
257,07:13:52,13:36:43,19:58:30
258,07:15:33,13:36:22,19:56:07
259,07:17:13,13:36:00,19:53:44
260,07:18:53,13:35:39,19:51:22
261,07:20:33,13:35:18,19:48:59
262,07:22:14,13:34:56,19:46:36
263,07:23:54,13:34:35,19:44:13
264,07:25:35,13:34:14,19:41:50
265,07:27:15,13:33:52,19:39:28
266,07:28:56,13:33:31,19:37:05
267,07:30:37,13:33:10,19:34:42
268,07:32:18,13:32:50,19:32:20
269,07:34:00,13:32:29,19:29:58
270,07:35:41,13:32:08,19:27:36
271,07:37:23,13:31:48,19:25:14
272,07:39:05,13:31:28,19:22:52
273,07:40:47,13:31:08,19:20:31
274,07:42:29,13:30:49,19:18:10
275,07:44:12,13:30:30,19:15:49
276,07:45:54,13:30:11,19:13:29
277,07:47:37,13:29:52,19:11:09
278,07:49:21,13:29:34,19:08:50
279,07:51:04,13:29:16,19:06:31
280,07:52:48,13:28:59,19:04:13
281,07:54:32,13:28:42,19:01:55
282,07:56:17,13:28:25,18:59:37
283,07:58:01,13:28:09,18:57:21
284,07:59:46,13:27:53,18:55:05
285,08:01:32,13:27:38,18:52:49
286,08:03:17,13:27:23,18:50:35
287,08:05:03,13:27:09,18:48:21
288,08:06:50,13:26:55,18:46:08
289,08:08:36,13:26:42,18:43:56
290,08:10:23,13:26:30,18:41:44
291,08:12:10,13:26:18,18:39:34
292,08:13:58,13:26:07,18:37:24
293,08:15:45,13:25:56,18:35:16
294,08:17:34,13:25:46,18:33:08
295,08:19:22,13:25:37,18:31:02
296,08:21:10,13:25:28,18:28:57
297,08:22:59,13:25:20,18:26:52
298,08:24:49,13:25:13,18:24:49
299,07:26:38,12:25:07,17:22:48
300,07:28:27,12:25:01,17:20:47
301,07:30:17,12:24:56,17:18:48
302,07:32:07,12:24:52,17:16:50
303,07:33:57,12:24:49,17:14:54
304,07:35:47,12:24:46,17:12:59
305,07:37:38,12:24:44,17:11:06
306,07:39:28,12:24:43,17:09:14
307,07:41:19,12:24:43,17:07:24
308,07:43:09,12:24:44,17:05:36
309,07:44:59,12:24:45,17:03:49
310,07:46:50,12:24:48,17:02:05
311,07:48:40,12:24:51,17:00:22
312,07:50:30,12:24:55,16:58:40
313,07:52:19,12:25:00,16:57:01
314,07:54:09,12:25:06,16:55:24
315,07:55:58,12:25:13,16:53:49
316,07:57:47,12:25:20,16:52:16
317,07:59:35,12:25:29,16:50:45
318,08:01:23,12:25:38,16:49:17
319,08:03:10,12:25:48,16:47:51
320,08:04:56,12:25:59,16:46:27
321,08:06:42,12:26:11,16:45:05
322,08:08:27,12:26:23,16:43:46
323,08:10:12,12:26:37,16:42:30
324,08:11:55,12:26:51,16:41:16
325,08:13:37,12:27:06,16:40:04
326,08:15:18,12:27:22,16:38:56
327,08:16:58,12:27:39,16:37:50
328,08:18:37,12:27:56,16:36:47
329,08:20:15,12:28:14,16:35:47
330,08:21:51,12:28:33,16:34:50
331,08:23:25,12:28:53,16:33:55
332,08:24:58,12:29:13,16:33:04
333,08:26:29,12:29:34,16:32:16
334,08:27:59,12:29:56,16:31:31
335,08:29:26,12:30:19,16:30:49
336,08:30:52,12:30:42,16:30:11
337,08:32:15,12:31:05,16:29:36
338,08:33:36,12:31:29,16:29:04
339,08:34:55,12:31:54,16:28:35
340,08:36:12,12:32:19,16:28:10
341,08:37:27,12:32:45,16:27:48
342,08:38:38,12:33:12,16:27:30
343,08:39:48,12:33:38,16:27:15
344,08:40:54,12:34:05,16:27:04
345,08:41:58,12:34:33,16:26:56
346,08:42:59,12:35:01,16:26:52
347,08:43:57,12:35:29,16:26:52
348,08:44:52,12:35:58,16:26:55
349,08:45:44,12:36:26,16:27:01
350,08:46:33,12:36:55,16:27:11
351,08:47:19,12:37:25,16:27:25
352,08:48:02,12:37:54,16:27:42
353,08:48:41,12:38:24,16:28:03
354,08:49:17,12:38:53,16:28:28
355,08:49:50,12:39:23,16:28:55
356,08:50:19,12:39:53,16:29:27
357,08:50:45,12:40:22,16:30:02
358,08:51:08,12:40:52,16:30:40
