day,rise,noon,set
1,08:52:02,12:44:38,16:37:25
2,08:51:54,12:45:06,16:38:30
3,08:51:42,12:45:34,16:39:39
4,08:51:27,12:46:01,16:40:50
5,08:51:08,12:46:28,16:42:04
6,08:50:46,12:46:55,16:43:20
7,08:50:20,12:47:21,16:44:39
8,08:49:51,12:47:46,16:46:00
9,08:49:19,12:48:12,16:47:24
10,08:48:44,12:48:36,16:48:50
11,08:48:05,12:49:00,16:50:18
12,08:47:23,12:49:24,16:51:48
13,08:46:38,12:49:47,16:53:19
14,08:45:49,12:50:09,16:54:53
15,08:44:58,12:50:30,16:56:29
16,08:44:04,12:50:51,16:58:06
17,08:43:06,12:51:12,16:59:45
18,08:42:06,12:51:31,17:01:25
19,08:41:03,12:51:50,17:03:07
20,08:39:57,12:52:08,17:04:50
21,08:38:49,12:52:26,17:06:34
22,08:37:37,12:52:42,17:08:19
23,08:36:23,12:52:58,17:10:06
24,08:35:07,12:53:13,17:11:53
25,08:33:48,12:53:28,17:13:42
26,08:32:27,12:53:41,17:15:31
27,08:31:03,12:53:54,17:17:21
28,08:29:37,12:54:06,17:19:11
29,08:28:08,12:54:17,17:21:03
30,08:26:38,12:54:27,17:22:55
31,08:25:05,12:54:37,17:24:47
32,08:23:30,12:54:45,17:26:40
33,08:21:53,12:54:53,17:28:33
34,08:20:14,12:55:00,17:30:26
35,08:18:34,12:55:06,17:32:20
36,08:16:51,12:55:12,17:34:14
37,08:15:07,12:55:16,17:36:08
38,08:13:20,12:55:20,17:38:03
39,08:11:32,12:55:23,17:39:57
40,08:09:43,12:55:25,17:41:51
41,08:07:52,12:55:26,17:43:46
42,08:05:59,12:55:27,17:45:40
43,08:04:04,12:55:26,17:47:35
44,08:02:09,12:55:25,17:49:29
45,08:00:11,12:55:24,17:51:23
46,07:58:13,12:55:21,17:53:17
47,07:56:13,12:55:18,17:55:11
48,07:54:12,12:55:14,17:57:05
49,07:52:10,12:55:09,17:58:59
50,07:50:06,12:55:04,18:00:52
51,07:48:01,12:54:58,18:02:45
52,07:45:56,12:54:51,18:04:38
53,07:43:49,12:54:44,18:06:30
54,07:41:41,12:54:36,18:08:23
55,07:39:32,12:54:27,18:10:15
56,07:37:23,12:54:18,18:12:07
57,07:35:12,12:54:08,18:13:58
58,07:33:00,12:53:58,18:15:49
59,07:30:48,12:53:47,18:17:40
60,07:28:35,12:53:36,18:19:31
61,07:26:21,12:53:24,18:21:21
62,07:24:07,12:53:11,18:23:11
63,07:21:52,12:52:58,18:25:01
64,07:19:36,12:52:45,18:26:51
65,07:17:20,12:52:31,18:28:40
66,07:15:03,12:52:17,18:30:29
67,07:12:45,12:52:03,18:32:17
68,07:10:28,12:51:48,18:34:06
69,07:08:09,12:51:32,18:35:54
70,07:05:50,12:51:17,18:37:42
71,07:03:31,12:51:01,18:39:30
72,07:01:12,12:50:45,18:41:17
73,06:58:52,12:50:28,18:43:04
74,06:56:32,12:50:11,18:44:51
75,06:54:11,12:49:54,18:46:38
76,06:51:51,12:49:37,18:48:25
77,06:49:30,12:49:20,18:50:11
78,06:47:09,12:49:02,18:51:58
79,06:44:48,12:48:45,18:53:44
80,06:42:26,12:48:27,18:55:30
81,06:40:05,12:48:09,18:57:16
82,06:37:44,12:47:51,18:59:02
83,06:35:22,12:47:33,19:00:47
84,06:33:01,12:47:15,19:02:33
85,06:30:39,12:46:57,19:04:18
86,06:28:18,12:46:39,19:06:04
87,06:25:57,12:46:20,19:07:49
88,06:23:36,12:46:02,19:09:34
89,06:21:15,12:45:44,19:11:19
90,07:18:54,13:45:26,20:13:04
91,07:16:34,13:45:09,20:14:49
92,07:14:14,13:44:51,20:16:34
93,07:11:54,13:44:33,20:18:19
94,07:09:34,13:44:16,20:20:04
95,07:07:15,13:43:58,20:21:49
96,07:04:56,13:43:41,20:23:34
97,07:02:37,13:43:24,20:25:19
98,07:00:19,13:43:08,20:27:04
99,06:58:01,13:42:51,20:28:49
100,06:55:44,13:42:35,20:30:34
101,06:53:28,13:42:19,20:32:19
102,06:51:11,13:42:03,20:34:04
103,06:48:56,13:41:48,20:35:49
104,06:46:41,13:41:33,20:37:34
105,06:44:27,13:41:18,20:39:19
106,06:42:14,13:41:04,20:41:04
107,06:40:01,13:40:50,20:42:49
108,06:37:49,13:40:37,20:44:34
109,06:35:38,13:40:23,20:46:18
110,06:33:27,13:40:11,20:48:03
111,06:31:18,13:39:58,20:49:48
112,06:29:10,13:39:46,20:51:32
113,06:27:02,13:39:35,20:53:17
114,06:24:55,13:39:24,20:55:01
115,06:22:50,13:39:13,20:56:46
116,06:20:46,13:39:03,20:58:30
117,06:18:42,13:38:54,21:00:14
118,06:16:40,13:38:44,21:01:58
119,06:14:39,13:38:36,21:03:41
120,06:12:40,13:38:28,21:05:25
121,06:10:41,13:38:20,21:07:08
122,06:08:44,13:38:13,21:08:51
123,06:06:49,13:38:07,21:10:33
124,06:04:55,13:38:01,21:12:15
125,06:03:02,13:37:56,21:13:57
126,06:01:11,13:37:51,21:15:38
127,05:59:21,13:37:47,21:17:19
128,05:57:33,13:37:43,21:18:59
129,05:55:47,13:37:40,21:20:38
130,05:54:02,13:37:37,21:22:17
131,05:52:19,13:37:35,21:23:56
132,05:50:39,13:37:34,21:25:33
133,05:48:59,13:37:33,21:27:10
134,05:47:22,13:37:33,21:28:46
135,05:45:47,13:37:33,21:30:21
136,05:44:14,13:37:34,21:31:55
137,05:42:43,13:37:35,21:33:28
138,05:41:14,13:37:37,21:35:00
139,05:39:48,13:37:40,21:36:31
140,05:38:23,13:37:43,21:38:00
141,05:37:01,13:37:47,21:39:29
142,05:35:41,13:37:51,21:40:55
143,05:34:24,13:37:56,21:42:21
144,05:33:09,13:38:01,21:43:45
145,05:31:57,13:38:07,21:45:08
146,05:30:47,13:38:13,21:46:28
147,05:29:40,13:38:19,21:47:47
148,05:28:36,13:38:27,21:49:05
149,05:27:34,13:38:34,21:50:20
150,05:26:35,13:38:42,21:51:34
151,05:25:39,13:38:51,21:52:45
152,05:24:46,13:39:00,21:53:55
153,05:23:55,13:39:09,21:55:02
154,05:23:08,13:39:19,21:56:07
155,05:22:24,13:39:29,21:57:10
156,05:21:42,13:39:39,21:58:10
157,05:21:04,13:39:50,21:59:08
158,05:20:29,13:40:01,22:00:03
159,05:19:57,13:40:12,22:00:56
160,05:19:28,13:40:24,22:01:46
161,05:19:02,13:40:35,22:02:34
162,05:18:39,13:40:48,22:03:18
163,05:18:20,13:41:00,22:04:00
164,05:18:04,13:41:12,22:04:39
165,05:17:51,13:41:25,22:05:15
166,05:17:41,13:41:37,22:05:48
167,05:17:34,13:41:50,22:06:18
168,05:17:31,13:42:03,22:06:45
169,05:17:31,13:42:16,22:07:08
170,05:17:35,13:42:29,22:07:29
171,05:17:41,13:42:42,22:07:46
172,05:17:51,13:42:55,22:08:00
173,05:18:04,13:43:08,22:08:11
174,05:18:20,13:43:21,22:08:19
175,05:18:39,13:43:34,22:08:24
176,05:19:01,13:43:47,22:08:25
177,05:19:26,13:44:00,22:08:23
178,05:19:55,13:44:12,22:08:17
179,05:20:26,13:44:25,22:08:08
180,05:21:00,13:44:37,22:07:56
181,05:21:37,13:44:49,22:07:41
182,05:22:17,13:45:01,22:07:22
183,05:23:00,13:45:12,22:07:01
184,05:23:46,13:45:23,22:06:36
185,05:24:34,13:45:34,22:06:07
186,05:25:24,13:45:45,22:05:36
187,05:26:18,13:45:55,22:05:01
188,05:27:13,13:46:05,22:04:23
189,05:28:11,13:46:14,22:03:43
190,05:29:12,13:46:24,22:02:59
191,05:30:14,13:46:32,22:02:12
192,05:31:19,13:46:41,22:01:22
193,05:32:26,13:46:48,22:00:29
194,05:33:35,13:46:56,21:59:33
195,05:34:46,13:47:03,21:58:34
196,05:35:59,13:47:09,21:57:33
197,05:37:13,13:47:15,21:56:29
198,05:38:30,13:47:20,21:55:22
199,05:39:48,13:47:25,21:54:12
200,05:41:07,13:47:30,21:53:00
201,05:42:28,13:47:33,21:51:46
202,05:43:51,13:47:37,21:50:28
203,05:45:15,13:47:39,21:49:09
204,05:46:40,13:47:41,21:47:47
205,05:48:06,13:47:43,21:46:22
206,05:49:34,13:47:44,21:44:56
207,05:51:02,13:47:44,21:43:27
208,05:52:32,13:47:44,21:41:56
209,05:54:02,13:47:43,21:40:23
210,05:55:34,13:47:42,21:38:47
211,05:57:06,13:47:39,21:37:10
212,05:58:39,13:47:37,21:35:31
213,06:00:13,13:47:33,21:33:50
214,06:01:48,13:47:30,21:32:07
215,06:03:23,13:47:25,21:30:22
216,06:04:59,13:47:20,21:28:36
217,06:06:35,13:47:14,21:26:47
218,06:08:12,13:47:08,21:24:57
219,06:09:49,13:47:01,21:23:06
220,06:11:27,13:46:53,21:21:13
221,06:13:05,13:46:45,21:19:18
222,06:14:43,13:46:37,21:17:22
223,06:16:22,13:46:27,21:15:25
224,06:18:01,13:46:18,21:13:26
225,06:19:40,13:46:07,21:11:26
226,06:21:19,13:45:56,21:09:25
227,06:22:59,13:45:45,21:07:22
228,06:24:39,13:45:33,21:05:18
229,06:26:19,13:45:20,21:03:13
230,06:27:58,13:45:07,21:01:07
231,06:29:38,13:44:54,20:59:00
232,06:31:19,13:44:40,20:56:52
233,06:32:59,13:44:25,20:54:43
234,06:34:39,13:44:10,20:52:33
235,06:36:19,13:43:55,20:50:22
236,06:37:59,13:43:39,20:48:10
237,06:39:40,13:43:23,20:45:58
238,06:41:20,13:43:06,20:43:44
239,06:43:00,13:42:49,20:41:30
240,06:44:40,13:42:32,20:39:15
241,06:46:21,13:42:14,20:36:59
242,06:48:01,13:41:56,20:34:43
243,06:49:41,13:41:38,20:32:26
244,06:51:21,13:41:19,20:30:09
245,06:53:01,13:41:00,20:27:51
246,06:54:41,13:40:40,20:25:32
247,06:56:21,13:40:21,20:23:13
248,06:58:01,13:40:01,20:20:54
249,06:59:41,13:39:41,20:18:34
250,07:01:21,13:39:21,20:16:13
251,07:03:01,13:39:00,20:13:53
252,07:04:41,13:38:39,20:11:32
253,07:06:21,13:38:19,20:09:10
254,07:08:01,13:37:58,20:06:49
255,07:09:41,13:37:37,20:04:27
256,07:11:21,13:37:15,20:02:05
257,07:13:01,13:36:54,19:59:43
258,07:14:41,13:36:33,19:57:20
259,07:16:21,13:36:11,19:54:57
260,07:18:01,13:35:50,19:52:35
261,07:19:42,13:35:29,19:50:12
262,07:21:22,13:35:07,19:47:49
263,07:23:03,13:34:46,19:45:26
264,07:24:43,13:34:25,19:43:04
265,07:26:24,13:34:03,19:40:41
266,07:28:05,13:33:42,19:38:18
267,07:29:45,13:33:21,19:35:55
268,07:31:26,13:33:00,19:33:33
269,07:33:08,13:32:40,19:31:11
270,07:34:49,13:32:19,19:28:48
271,07:36:31,13:31:59,19:26:27
272,07:38:12,13:31:38,19:24:05
273,07:39:54,13:31:19,19:21:43
274,07:41:37,13:30:59,19:19:22
275,07:43:19,13:30:40,19:17:01
276,07:45:02,13:30:20,19:14:41
277,07:46:45,13:30:02,19:12:21
278,07:48:28,13:29:43,19:10:01
279,07:50:11,13:29:25,19:07:42
280,07:51:55,13:29:08,19:05:24
281,07:53:39,13:28:50,19:03:05
282,07:55:23,13:28:33,19:00:48
283,07:57:08,13:28:17,18:58:31
284,07:58:53,13:28:01,18:56:15
285,08:00:38,13:27:46,18:53:59
286,08:02:23,13:27:31,18:51:44
