day,rise,noon,set
1,08:52:02,12:44:38,16:37:26
2,08:51:54,12:45:06,16:38:31
3,08:51:42,12:45:34,16:39:40
4,08:51:26,12:46:01,16:40:51
5,08:51:08,12:46:28,16:42:05
6,08:50:45,12:46:55,16:43:21
7,08:50:20,12:47:21,16:44:40
8,08:49:51,12:47:47,16:46:02
9,08:49:18,12:48:12,16:47:25
10,08:48:43,12:48:36,16:48:51
11,08:48:04,12:49:00,16:50:19
12,08:47:22,12:49:24,16:51:49
13,08:46:36,12:49:47,16:53:21
14,08:45:48,12:50:09,16:54:55
15,08:44:57,12:50:31,16:56:30
16,08:44:02,12:50:52,16:58:08
17,08:43:05,12:51:12,16:59:46
18,08:42:04,12:51:31,17:01:27
19,08:41:01,12:51:50,17:03:08
20,08:39:55,12:52:08,17:04:51
21,08:38:47,12:52:26,17:06:36
22,08:37:35,12:52:42,17:08:21
23,08:36:21,12:52:58,17:10:08
24,08:35:05,12:53:13,17:11:55
25,08:33:46,12:53:28,17:13:43
26,08:32:24,12:53:41,17:15:33
27,08:31:01,12:53:54,17:17:23
28,08:29:34,12:54:06,17:19:13
29,08:28:06,12:54:17,17:21:05
30,08:26:35,12:54:27,17:22:57
31,08:25:03,12:54:36,17:24:49
32,08:23:28,12:54:45,17:26:42
33,08:21:51,12:54:53,17:28:35
34,08:20:12,12:55:00,17:30:28
35,08:18:31,12:55:06,17:32:22
36,08:16:48,12:55:11,17:34:16
37,08:15:04,12:55:16,17:36:10
38,08:13:18,12:55:19,17:38:05
39,08:11:30,12:55:22,17:39:59
40,08:09:40,12:55:24,17:41:54
41,08:07:49,12:55:26,17:43:48
42,08:05:56,12:55:26,17:45:43
43,08:04:01,12:55:26,17:47:37
44,08:02:06,12:55:25,17:49:31
45,08:00:08,12:55:23,17:51:25
46,07:58:10,12:55:21,17:53:20
47,07:56:10,12:55:17,17:55:13
48,07:54:09,12:55:13,17:57:07
49,07:52:06,12:55:09,17:59:01
50,07:50:03,12:55:03,18:00:54
51,07:47:58,12:54:57,18:02:47
52,07:45:52,12:54:51,18:04:40
53,07:43:45,12:54:43,18:06:33
54,07:41:38,12:54:35,18:08:25
55,07:39:29,12:54:27,18:10:17
56,07:37:19,12:54:17,18:12:09
57,07:35:08,12:54:08,18:14:00
58,07:32:57,12:53:57,18:15:52
59,07:30:45,12:53:46,18:17:42
60,07:28:32,12:53:35,18:19:33
61,07:26:18,12:53:23,18:21:23
62,07:24:03,12:53:11,18:23:14
63,07:21:48,12:52:58,18:25:03
64,07:19:32,12:52:44,18:26:53
65,07:17:16,12:52:31,18:28:42
